time_aligned_sec,L_Gyro_Z_aligned,R_Gyro_Z_aligned
2.085,-17.595,-29.326
2.09,-23.46,-29.326
2.095,-17.595,-29.326
2.1,-17.595,-29.326
2.105,-17.595,-29.326
2.11,-23.46,-29.326
2.115,-17.595,-29.326
2.12,-17.595,-29.326
2.125,-17.595,-29.326
2.13,-11.73,-29.326
2.1350000000000002,-11.73,-29.326
2.14,-11.73,-29.326
2.145,-11.73,-23.46
2.15,-5.865,-29.326
2.1550000000000002,-5.865,-23.46
2.16,-0.0,-23.46
2.165,-0.0,-23.46
2.17,5.865,-23.46
2.1750000000000003,5.865,-23.46
2.18,11.73,-23.46
2.185,11.73,-23.46
2.19,17.595,-17.595
2.195,23.46,-17.595
2.2,23.46,-17.595
2.205,29.326,-17.595
2.21,35.191,-17.595
2.215,46.921,-17.595
2.22,52.786,-11.73
2.225,64.516,-11.73
2.23,70.381,-11.73
2.235,82.111,-11.73
2.24,87.977,-5.865
2.245,93.842,-5.865
2.25,99.707,0.0
2.255,99.707,0.0
2.2600000000000002,105.572,0.0
2.265,111.437,5.865
2.27,117.302,5.865
2.275,117.302,11.73
2.2800000000000002,123.167,17.595
2.285,117.302,17.595
2.29,111.437,23.46
2.295,76.246,29.326
2.3000000000000003,70.381,35.191
2.305,-5.865,41.056
2.31,-99.707,52.786
2.315,-111.437,64.516
2.32,-58.651,70.381
2.325,-0.0,76.246
2.33,29.326,87.977
2.335,35.191,93.842
2.34,35.191,99.707
2.345,35.191,105.572
2.35,35.191,105.572
2.355,35.191,111.437
2.36,35.191,117.302
2.365,29.326,117.302
2.37,23.46,123.167
2.375,11.73,123.167
2.38,5.865,117.302
2.3850000000000002,-0.0,87.977
2.39,-0.0,76.246
2.395,-0.0,23.46
2.4,-0.0,-87.977
2.4050000000000002,-0.0,-117.302
2.41,-0.0,-76.246
2.415,-0.0,-11.73
2.42,-5.865,23.46
2.4250000000000003,-5.865,35.191
2.43,-5.865,35.191
2.435,-11.73,35.191
2.44,-11.73,35.191
2.445,-5.865,35.191
2.45,-5.865,35.191
2.455,-5.865,29.326
2.46,-5.865,23.46
2.465,-0.0,17.595
2.47,-0.0,5.865
2.475,-0.0,0.0
2.48,-0.0,0.0
2.485,-0.0,0.0
2.49,-0.0,0.0
2.495,5.865,0.0
2.5,5.865,0.0
2.505,5.865,0.0
2.5100000000000002,5.865,-5.865
2.515,5.865,-5.865
2.52,5.865,-5.865
2.525,-0.0,-11.73
2.5300000000000002,-0.0,-5.865
2.535,-0.0,-5.865
2.54,-0.0,-5.865
2.545,-5.865,-5.865
2.5500000000000003,-5.865,-5.865
2.555,-0.0,-5.865
2.56,-5.865,0.0
2.565,-5.865,0.0
2.57,-0.0,0.0
2.575,-5.865,0.0
2.58,-5.865,0.0
2.585,-0.0,0.0
2.59,-0.0,5.865
2.595,-0.0,5.865
2.6,-0.0,5.865
2.605,-0.0,5.865
2.61,-0.0,5.865
2.615,-0.0,0.0
2.62,-0.0,0.0
2.625,-0.0,0.0
2.63,-0.0,0.0
2.6350000000000002,-0.0,0.0
2.64,-0.0,0.0
2.645,-0.0,-5.865
2.65,-5.865,-5.865
2.6550000000000002,-5.865,-5.865
2.66,-0.0,-5.865
2.665,-5.865,0.0
2.67,-5.865,0.0
2.6750000000000003,-5.865,0.0
2.68,-5.865,0.0
2.685,-11.73,0.0
2.69,-11.73,0.0
2.695,-11.73,0.0
2.7,-11.73,0.0
2.705,-11.73,0.0
2.71,-11.73,0.0
2.715,-11.73,0.0
2.72,-11.73,0.0
2.725,-11.73,0.0
2.73,-17.595,0.0
2.735,-17.595,0.0
2.74,-17.595,0.0
2.745,-17.595,0.0
2.75,-17.595,-5.865
2.755,-17.595,-5.865
2.7600000000000002,-17.595,-5.865
2.765,-23.46,-5.865
2.77,-23.46,-5.865
2.775,-23.46,-5.865
2.7800000000000002,-29.326,-11.73
2.785,-29.326,-11.73
2.79,-29.326,-5.865
2.795,-29.326,-11.73
2.8000000000000003,-29.326,-11.73
2.805,-29.326,-11.73
2.81,-29.326,-11.73
2.815,-23.46,-11.73
2.82,-29.326,-11.73
2.825,-29.326,-17.595
2.83,-29.326,-17.595
2.835,-29.326,-17.595
2.84,-29.326,-17.595
2.845,-29.326,-17.595
2.85,-29.326,-17.595
2.855,-29.326,-23.46
2.86,-29.326,-23.46
2.865,-29.326,-23.46
2.87,-29.326,-29.326
2.875,-29.326,-29.326
2.88,-29.326,-29.326
2.8850000000000002,-29.326,-29.326
2.89,-29.326,-29.326
2.895,-29.326,-29.326
2.9,-29.326,-29.326
2.9050000000000002,-29.326,-29.326
2.91,-29.326,-29.326
2.915,-29.326,-29.326
2.92,-23.46,-29.326
2.9250000000000003,-23.46,-29.326
2.93,-23.46,-29.326
2.935,-23.46,-29.326
2.94,-23.46,-29.326
2.945,-23.46,-29.326
2.95,-23.46,-29.326
2.955,-23.46,-29.326
2.96,-23.46,-29.326
2.965,-23.46,-29.326
2.97,-23.46,-29.326
2.975,-23.46,-35.191
2.98,-23.46,-29.326
2.985,-23.46,-29.326
2.99,-23.46,-35.191
2.995,-23.46,-29.326
3.0,-17.595,-29.326
3.005,-17.595,-29.326
3.0100000000000002,-17.595,-29.326
3.015,-17.595,-29.326
3.02,-17.595,-29.326
3.025,-17.595,-23.46
3.0300000000000002,-17.595,-23.46
3.035,-17.595,-23.46
3.04,-17.595,-23.46
3.045,-11.73,-23.46
3.0500000000000003,-11.73,-23.46
3.055,-11.73,-23.46
3.06,-11.73,-23.46
3.065,-11.73,-23.46
3.0700000000000003,-11.73,-23.46
3.075,-11.73,-23.46
3.08,-11.73,-23.46
3.085,-11.73,-17.595
3.09,-11.73,-23.46
3.095,-5.865,-17.595
3.1,-5.865,-17.595
3.105,-5.865,-17.595
3.11,-5.865,-17.595
3.115,-5.865,-17.595
3.12,-5.865,-17.595
3.125,-5.865,-17.595
3.13,-5.865,-17.595
3.1350000000000002,-5.865,-17.595
3.14,-11.73,-11.73
3.145,-5.865,-11.73
3.15,-5.865,-11.73
3.1550000000000002,-5.865,-11.73
3.16,-11.73,-11.73
3.165,-5.865,-11.73
3.17,-5.865,-11.73
3.1750000000000003,-5.865,-11.73
3.18,-5.865,-5.865
3.185,-5.865,-5.865
3.19,-5.865,-5.865
3.1950000000000003,-5.865,-5.865
3.2,-5.865,-5.865
3.205,-5.865,-5.865
3.21,-5.865,-5.865
3.215,-5.865,-5.865
3.22,-5.865,-5.865
3.225,-5.865,-5.865
3.23,-5.865,-5.865
3.235,-5.865,-5.865
3.24,-5.865,-5.865
3.245,-5.865,-5.865
3.25,-5.865,-11.73
3.255,-5.865,-5.865
3.2600000000000002,-5.865,-5.865
3.265,-11.73,-5.865
3.27,-11.73,-11.73
3.275,-11.73,-5.865
3.2800000000000002,-11.73,-5.865
3.285,-11.73,-5.865
3.29,-11.73,-5.865
3.295,-5.865,-5.865
3.3000000000000003,-11.73,-5.865
3.305,-11.73,-5.865
3.31,-11.73,-5.865
3.315,-11.73,-5.865
3.3200000000000003,-11.73,-5.865
3.325,-11.73,-5.865
3.33,-11.73,-5.865
3.335,-11.73,-5.865
3.34,-11.73,-5.865
3.345,-11.73,-5.865
3.35,-5.865,-5.865
3.355,-5.865,-5.865
3.36,-5.865,-5.865
3.365,-5.865,-5.865
3.37,-5.865,-11.73
3.375,-5.865,-11.73
3.38,-5.865,-5.865
3.3850000000000002,-5.865,-11.73
3.39,-5.865,-11.73
3.395,-5.865,-11.73
3.4,-5.865,-11.73
3.4050000000000002,-5.865,-11.73
3.41,-0.0,-11.73
3.415,-0.0,-11.73
3.42,-0.0,-11.73
3.4250000000000003,-0.0,-11.73
3.43,-0.0,-11.73
3.435,-0.0,-11.73
3.44,5.865,-5.865
3.4450000000000003,5.865,-5.865
3.45,5.865,-5.865
3.455,5.865,-5.865
3.46,5.865,-5.865
3.465,11.73,-5.865
3.47,11.73,-5.865
3.475,11.73,-5.865
3.48,17.595,-5.865
3.485,23.46,-5.865
3.49,23.46,-5.865
3.495,29.326,-5.865
3.5,29.326,0.0
3.505,35.191,0.0
3.5100000000000002,41.056,0.0
3.515,46.921,0.0
3.52,52.786,0.0
3.525,52.786,5.865
3.5300000000000002,64.516,5.865
3.535,70.381,5.865
3.54,76.246,5.865
3.545,87.977,5.865
